objectid,filename,title,creator,date,subject,subjectgenre,content,contributorperformers,contributorsetdesigner,contributorcompanion,description,alt-text,location,latitude,longitude,format,language,filesize,dimensions,rights
coll034,IMG_6909.JPG,Romantic Fantasy,"Kuethe, Lauren",2024-11-23,Orchestral Music.,Orchestral Music," Essay No. 1, Op. 12 / Samuel Barber -- Scottish Fantasy, Op. 46 / Max Bruch -- Symphony No. 3, Op. 55, ""Eroica"" / Ludwig van Beethoven","Orchestra Iowa; Melissa White, violin",,"Sturms, William",Lauren found the music and architecture of the building to be very aesthetically and pleasing. The violin soloist was incredible.,The detailed ceiling and balcony seats of the Paramount Theatre,"Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,eng,3.8MB,42 x 56 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll035,IMG_7087.JPG,Nutcracker,"Kuethe, Lauren",2024-12-07,Orchestral Music; Nutcracker (Choreographic work).,Ballet; Orchestral Music,,Orchestra Iowa; Ballet Quad Cities,Courtney Lyon,"Sturms, William",This is the first ballet that Lauren has ever seen. She also realized that she didn't know the true plot of the Nutcracker.,Lauren Kuethe is giving peace signs while dressed in a button up and vest,"Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,rus,1.5MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll036,IMG_7117.JPG,Beauty and the Beast,"Kuethe, Lauren",2024-12-12,"Theatrical Productions; Musicals; Menken, Alan. Beauty and the Beast.",Musical,Overture -- Prologue -- Belle -- No Matter What -- No Matter What (Reprise) / Wolf Chase -- Me -- Belle (Reprise) -- Home -- Home (Reprise) -- Gaston -- Gaston (Reprise) -- How Long Must This Go On? -- Be Our Guest -- If I Can't Love Her -- Entr'acte / Wolf Chase -- Something There -- Human Again -- Maison Des Lunes -- Beauty and the Beast -- If I Can't Love Her (Reprise) -- A Change in Me -- The Mob Song -- The Battle -- Home (Reprise II) -- Transformation -- Beauty and the Beast (Reprise),Performed by a local ensemble cast.,S. Benjamin Farrar,"Vick, McKenzie","When the first show occurred, the community showered it with praises and tickets were difficult to obtain. Lauren's companion McKenzie knew the actor who played the Beast.","The stage before the show, showing a large stained glass rose as the backdrop","Theatre Cedar Rapids, Cedar Rapids, Iowa",41.979359,-91.667192,image/jpeg,eng,3.2MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll037,IMG_7621.JPG,Cendrillon (Cinderella) - Opera,"Kuethe, Lauren",2025-01-17,"Theatrical Productions; Operas; Richmond, Arthur. Cinderella.",Opera; Orchestral Music,,Orchestra Iowa; Cedar Rapids Opera,Scott Olinger,"Brogla, Courtney; Sturms, William",This is the first opera that Lauren has ever seen. There were subtitles on screens in French for the audience.,"The curtains before the show have projected ""Cinderella"" written in script","Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,fre,1.9MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll038,IMG_7985.JPG,Video Games LIVE,"Kuethe, Lauren",2025-02-22,Orchestral Music; Video game music.,Orchestral Music; Computer and video game music,"Intro: 8-bit Generation as well as selections arranged based on soundtracks from the following games: Shadow of Colossus, Uncharted 2, Overwatch, Sonic, Metal Gear Solid, Skyrim, Undertale, Halo, Mass Effect, Castlevania, Tetris Opera, Okami, The Elder Scrolls V: Skyrim, World of Warcraft Medley, God of War, The Last of Us, and Final Fantasy - Liberi Fatali","Tommy Tallarico, guitar; Orchestra Iowa",Tommy Tallarico,"Brogla, Courtney; Sturms, William",This was Lauren's most anticipated orchestra event of the season. They played clips from the video games in the background as the orchestra performed their pieces. There was a choir as well.,The performers and Tommy Tallarico stand at the end of the show,"Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,eng,2.4MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll039,IMG_8241.JPG,Into the Woods - Marion,"Kuethe, Lauren",2025-04-11,"Theatrical Productions; Musicals; Sondheim, Stephen. Into the Woods.",Musical,"Into the Woods -- Cinderella at the Grave -- Hello, Little Girl -- I Guess This Is Goodbye -- Maybe They're Magic -- Maybe They're Magic (reprise) -- I Know Things Now -- A Very Nice Prince -- First Midnight -- Giants in the Sky -- Agony -- A Very Nice Prince (reprise) -- It Takes Two -- Second Midnight -- Stay with Me -- On the Steps of the Palace -- Careful My Toe -- So Happy (Prelude) -- Ever After -- So Happy -- Into the Woods (reprise) -- Agony (reprise) -- Lament -- Any Moment -- Moments in the Woods -- Your Fault -- Last Midnight -- No More -- No One Is Alone -- Finale: Children Will Listen",Marion High School students,Jonathan Dyrland,"Kuethe, Joyce","Marion High School recently built a new auditorium, and their first show on stage to break it in was Into the Woods.",The backdrop of the musical is a darkly lit forest,"Marion High School, Marion, Iowa",42.024083,-91.592324,image/jpeg,eng,1.8MB,42 x 56 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll040,IMG_8250.JPG,A Solemn Devotional,"Kuethe, Lauren",2025-04-12,"Orchestral Music; Mendelssohn-Bartholdy, Felix, 1809-1847; Mozart, Wolfgang Amadeus, 1756-1791.",Orchestral Music; Sacred music,"Symphony No. 5, Op. 107 ""Reformation"" / Felix Mendelssohn -- Requiem, K. 626 / W. A. Mozart",Orchestra Iowa; Orchestra Iowa Symphonic Chorus,,"Sturms, William",There was beautiful choral and orchestral music by Felix Mendelssohn and Mozart.,The orchestra sits while waiting for the director to enter,"Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,lat,3.2MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll008,IMG_8255.JPG,Mod Band - Russel,"Vick, McKenzie",2022-04-23,Bands (Music)--United States; The PickPockets (Musical group).,Rock music; Popular music,,"The PickPockets (Emma Huang, Veronica Larson, Carson Uthe McKenzie Vick)",,,"This performance was through a class called Mod Band, of which there were a handful of student-created groups that performed. This year, all songs were original creations. Lauren was a ""groupie"" and helped move equipment.",McKenzie Vick sings into the microphone,"Russel Hall - UNI Campus, Cedar Falls, Iowa",42.514045,-92.463038,image/jpeg,eng,2.9MB,41.67 x 27.78 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by McKenzie Vick."
coll001,IMG_9223.JPG,Marching Band - UNI vs St. Thomas,"Kuethe, Lauren",2021-09-18,Marching bands; University of Northern Iowa--Football.,Band music; Fight songs,,University of Northern Iowa. Panther Marching Band,Justin Mertz,Roosevelt House from Hagemann Hall,"The draw of the UNI marching band's music, supporting acquaintances that were performing, and going together with the dorm floor during COVID in order to have a social outing allowed this picture to be taken.",The UNI Marching Band performs pep songs with the players in the background,"UNI-Dome - UNI Campus, Cedar Falls, Iowa",42.515936,-92.467243,image/jpeg,eng,3.5MB,42 x 56 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll002,IMG_9606.JPG,Marching Band - UNI vs Youngstown State 2021,"Kuethe, Lauren",2021-10-02,Marching bands; University of Northern Iowa--Football.,Band music; Fight songs,,University of Northern Iowa. Panther Marching Band,Justin Mertz,Roosevelt House from Hagemann Hall,"On homecoming week, school spirit and the desire to support marching band acquaintances brought Lauren out.",The UNI Marching Band stands in straight lines,"UNI-Dome - UNI Campus, Cedar Falls, Iowa",42.515936,-92.467243,image/jpeg,eng,3.3MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll003,IMG_9842.JPG,Marching Band - UNI vs South Dakota,"Kuethe, Lauren",2021-10-16,Marching bands; University of Northern Iowa--Football.,Band music; Fight songs,,University of Northern Iowa. Panther Marching Band,Justin Mertz,Roosevelt House from Hagemann Hall,TC (The Cat) and TK (The Kitten) roam around the stadium taking pictures with people. Lauren had made getting a pciture with them a goal. She could only find TC.,The UNI mascot TC (left) and Lauren Kuethe (right) pose in the stands at a football game,"UNI-Dome - UNI Campus, Cedar Falls, Iowa",42.515936,-92.467243,image/jpeg,eng,2.5MB,42 x 56 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll010,IMG_9959.JPG,Mod Band - Mall,"Vick, McKenzie",2023-04-01,Bands (Music)--United States; The PickPockets (Musical group).,Rock music; Popular music,,"The PickPockets (Emma Huang, Veronica Larson, Carson Uthe McKenzie Vick)",,,"This performance was through a class called Mod Band, of which there were a handful of student-created groups that performed. This year, all songs were covers. This performance was open to the public.",McKenzie Vick plays the drums,"College Square Mall, Cedar Falls, Iowa",42.510856,-92.43443,image/jpeg,eng,0.293MB,5.42 x 3.58 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by McKenzie Vick."
